Sub	Run	Trial	OldT	Delay	LuckyDeck	ObjPP	OldObjLuckyDeck	ObjDeckMatch	Outcome	Resp	RT	DeckC	LuckyDeckC	OldObjC	RevT	OldDeckPP	OldDeck	EncRevT	Enc_Pay1	OptObj	PP	StayResp
27	5	299	1	13	1	0	0	1	0	1	955.747013009386	1	1	1	1	0.6	1	7	1	0	0.4	0
27	5	300	1	13	1	0.8	1	1	1	2	928.457436006283	1	1	0	2	0.4	2	8	0	0	0	1
28	1	1	0	NaN	1	NaN	NaN	NaN	0	1	787.052214989671	2	0	NaN	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN
28	1	2	0	NaN	1	NaN	NaN	NaN	0.6	2	498.788561002584	1	1	NaN	2	NaN	NaN	NaN	NaN	NaN	0	0
28	1	3	0	NaN	1	NaN	NaN	NaN	0.6	1	510.489040985703	1	1	NaN	3	NaN	NaN	NaN	NaN	NaN	0.6	1
28	1	4	0	NaN	1	NaN	NaN	NaN	1	1	483.812672988279	1	1	NaN	4	NaN	NaN	NaN	NaN	NaN	0.6	1
28	1	5	0	NaN	1	NaN	NaN	NaN	0.2	2	957.802641991293	1	1	NaN	5	NaN	NaN	NaN	NaN	NaN	1	1
28	1	6	0	NaN	1	NaN	NaN	NaN	1	1	569.172813993646	1	1	NaN	6	NaN	NaN	NaN	NaN	NaN	0.2	1
28	1	7	0	NaN	1	NaN	NaN	NaN	1	1	629.809628997464	1	1	NaN	7	NaN	NaN	NaN	NaN	NaN	1	1
28	1	8	0	NaN	1	NaN	NaN	NaN	0.6	2	677.422278997255	1	1	NaN	8	NaN	NaN	NaN	NaN	NaN	1	1
28	1	9	0	NaN	1	NaN	NaN	NaN	0.8	1	451.097387995105	1	1	NaN	9	NaN	NaN	NaN	NaN	NaN	0.6	1
28	1	10	0	NaN	1	NaN	NaN	NaN	0.6	1	997.832583991112	1	1	NaN	10	NaN	NaN	NaN	NaN	NaN	0.8	1
28	1	11	0	NaN	1	NaN	NaN	NaN	0	2	744.651223008987	1	1	NaN	11	NaN	NaN	NaN	NaN	NaN	0.6	1
28	1	12	1	11	1	0	1	0	0	2	690.875770000275	1	1	0	12	0	2	1	1	1	0	1
28	1	13	1	10	1	0.6	0	0	0.4	1	920.709022000665	2	0	0	13	0	1	3	0.6	0	0	0
28	1	14	0	NaN	1	NaN	NaN	NaN	0.6	2	1436.88457200187	2	0	NaN	14	NaN	NaN	NaN	NaN	NaN	0.4	1
28	1	15	0	NaN	1	NaN	NaN	NaN	0.4	2	1263.2519530016	1	1	NaN	15	NaN	NaN	NaN	NaN	NaN	0.6	0
28	1	16	1	11	1	0.2	0	1	0	2	1165.73070298182	2	0	0	16	0.4	1	5	1	1	0.4	0
28	1	17	0	NaN	1	NaN	NaN	NaN	0.8	1	1075.99804800702	1	1	NaN	17	NaN	NaN	NaN	NaN	NaN	0	0
28	1	18	1	14	1	1	0	0	1	1	1000.86620400543	1	1	1	18	0.8	1	4	0.6	1	0.8	1
28	1	19	0	NaN	2	NaN	NaN	NaN	0	2	1343.29512799741	1	0	NaN	1	NaN	NaN	NaN	NaN	NaN	1	1
28	1	20	0	NaN	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2	NaN	NaN	NaN	NaN	NaN	0	0
28	1	21	1	10	2	0	1	0	0	1	495.285220007645	1	0	1	3	0	1	11	0.6	0	NaN	0
28	1	22	0	NaN	2	NaN	NaN	NaN	0.2	2	761.257653008215	1	0	NaN	4	NaN	NaN	NaN	NaN	NaN	0	1
28	1	23	1	15	2	0.6	1	1	0.2	2	505.324130994268	2	1	0	5	0.2	1	8	1	0	0.2	0
28	1	24	1	15	2	0.8	1	1	0.8	1	726.858998998068	1	0	1	6	0.2	1	9	0.6	1	0.2	0
28	1	25	1	10	2	0.4	1	0	0.4	2	1216.88259698567	1	0	1	7	0.8	1	15	0.6	0	0.8	1
28	1	26	1	20	2	1	1	1	1	1	609.85836701002	1	0	1	8	0.4	1	6	0.2	1	0.4	1
28	1	27	1	10	2	0.8	1	1	0.8	1	930.350615002681	1	0	1	9	1	1	17	0	1	1	1
28	1	28	1	14	2	0.6	0	0	0	1	1009.78534700698	1	0	0	10	0.2	2	14	0.4	0	0.8	1
28	1	29	0	NaN	2	NaN	NaN	NaN	0	2	1059.74217000767	1	0	NaN	11	NaN	NaN	NaN	NaN	NaN	0	1
